Name,X,Y,population
Vreoci,7442506.791,4922394.141,3210
Vukićevica,7421837.397,4934869.712,657
Zabrežje,7437736.965,4949899.229,2663
Zaklopača,7472492.435,4948599.344,2252
Zemun,98.4193,25.0588,145751
Zeoke,7446612.606,4918594.685,796
Zuce,7464748.58,4950097.511,2024
Zvečka,7433238.399,4943606.908,6138
Zvezdara,7462996.71,4959238.678,132621
Živkovac,7484378.295,4938458.156,380
Županjac,7438175.481,4911286.271,582
